label,url_length,num_dots,num_hyphen,num_slashes,https,subdomains,has_at_symbol,has_double_slash,has_ip,num_underscores,num_percent,num_digits,num_query_params,has_query,path_depth,suspicious_tld,brand_in_url,is_shortened,suspicious_word_count,url_entropy,hostname_length,digit_letter_ratio,num_special_chars,tld_in_path,longest_digit_run,uses_free_hosting,brand_on_free_hosting,brand_domain_mismatch,text_length,token_count,scam_keyword_count,scam_keyword_density,exclamation_count,caps_ratio,avg_word_length
0,41,4,0,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4.1132,16,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,42,1,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4.2704,24,0.0,0,0,0,0,0,0,249,25,1,0.04,0,0.1641,6.6
1,19,1,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,3.7474,4,0.0,0,0,0,0,0,0,238,25,2,0.08,1,0.0561,6.4
0,108,3,6,6,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,4.4398,40,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,26,2,1,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.7774,15,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,26,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.6903,13,0.0,0,0,0,0,0,0,168,19,0,0.0,0,0.0286,6.474
0,21,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.749,12,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,30,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0062,22,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,45,3,0,5,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,4.1029,14,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,25,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7835,17,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,21,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7849,13,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,30,2,0,3,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,3.7396,14,0.0,0,0,0,0,0,0,144,18,0,0.0,0,0.0175,5.944
0,30,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9899,21,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,19,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4316,11,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,42,2,0,4,1,1,0,0,0,0,0,15,0,0,2,0,0,0,0,4.3977,14,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,63,4,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4.1748,26,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,34,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8559,26,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,35,2,1,3,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,4.229,26,0.15,0,0,3,1,0,0,0,0,0,0.0,0,0.0,0.0
0,25,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8635,16,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,21,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4273,13,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,33,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9981,24,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,42,1,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4.0057,24,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,26,2,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.892,14,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,23,3,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4686,14,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,47,2,2,2,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,4.4586,40,0.2414,0,0,7,0,0,0,0,0,0,0.0,0,0.0,0.0
0,32,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.8164,14,0.0,0,0,0,0,0,0,177,20,0,0.0,0,0.0284,6.05
1,41,2,1,2,0,1,0,0,0,0,0,7,0,0,0,1,0,0,0,4.4059,34,0.2917,0,0,7,0,0,0,0,0,0,0.0,0,0.0,0.0
0,27,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.4821,9,0.0,0,0,0,0,0,0,214,22,0,0.0,0,0.0289,6.0
1,42,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0416,33,0.0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,0.0
0,38,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0433,22,0.0,0,0,0,0,0,0,132,13,0,0.0,0,0.037,6.615
0,33,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9374,25,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,44,1,0,3,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4.2201,10,0.0,1,0,0,0,0,0,128,16,0,0.0,0,0.03,5.312
1,65,5,0,4,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,4.2203,33,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,48,2,4,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4.1709,39,0.0,0,0,0,1,1,1,0,0,0,0.0,0,0.0,0.0
0,21,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5585,13,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,59,1,2,3,1,0,0,0,0,0,0,4,1,1,1,1,0,0,2,4.6066,22,0.0,2,0,0,0,0,0,242,25,8,0.32,4,0.232,5.4
1,37,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2062,28,0.0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,0.0
1,175,2,1,7,1,1,0,0,0,1,0,20,3,1,5,0,1,0,0,5.586,15,0.0,3,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,44,2,1,2,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,4.2462,37,0.2593,0,0,7,0,0,0,0,0,0,0.0,0,0.0,0.0
0,21,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5585,12,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,45,2,1,2,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,4.3092,38,0.2069,0,0,6,0,0,0,0,0,0,0.0,0,0.0,0.0
1,67,2,1,7,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,4.0995,27,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,38,1,2,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4.0606,10,0.0,0,0,0,0,0,0,190,18,0,0.0,0,0.019,7.111
0,46,1,0,3,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4.3381,12,0.0,1,0,0,0,0,0,130,16,0,0.0,0,0.0294,5.438
0,21,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.749,12,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,173,2,1,7,1,1,0,0,0,1,0,11,3,1,5,0,1,0,0,5.5265,15,0.0,3,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,175,2,1,7,1,1,0,0,0,1,0,14,3,1,5,0,1,0,0,5.5807,15,0.0,3,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,22,1,0,3,1,0,0,0,0,0,0,3,0,0,1,0,0,1,0,3.9363,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,21,1,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.9395,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,40,1,3,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4.1587,18,0.0,0,0,0,0,0,0,240,24,2,0.083333,0,0.0567,6.375
1,62,3,1,3,1,1,0,0,0,0,0,18,0,0,1,0,0,0,0,4.6695,43,0.8182,0,0,6,0,0,0,0,0,0,0.0,0,0.0,0.0
1,29,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8404,20,0.0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,0.0
0,25,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9133,16,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,30,3,0,3,1,0,0,0,1,0,0,12,0,0,1,0,0,0,1,4.1396,15,1.0,0,0,3,0,0,0,240,24,2,0.083333,0,0.0567,6.375
0,37,3,0,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3.9183,17,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,40,1,3,3,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,4.2062,7,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,36,2,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.8292,17,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,40,1,1,5,1,0,0,0,0,0,0,6,0,0,3,0,1,0,0,4.1251,9,0.0,0,0,0,0,0,0,164,19,0,0.0,0,0.0294,6.263
0,27,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9023,19,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,61,1,3,3,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,4.6571,24,0.0,1,0,0,0,0,0,250,25,4,0.16,1,0.045,5.92
0,27,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9303,19,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,117,3,3,6,1,1,0,0,0,0,0,15,2,1,4,0,1,0,0,5.1747,15,0.0,2,0,0,0,0,1,0,0,0,0.0,0,0.0,0.0
1,50,2,1,3,1,1,0,0,0,0,0,19,0,0,0,0,0,0,0,4.6484,41,1.0,0,0,19,1,0,0,0,0,0,0.0,0,0.0,0.0
1,22,1,0,3,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,3.9363,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,29,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4.0473,12,0.0,0,0,0,0,0,1,192,18,0,0.0,0,0.0187,7.222
1,20,1,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,3.9842,5,0.0,0,0,0,0,0,0,229,29,2,0.068966,1,0.1868,6.103
1,54,2,1,2,1,1,0,0,0,0,0,16,0,0,0,1,0,0,0,4.62,46,0.5926,0,0,16,0,0,0,0,0,0,0.0,0,0.0,0.0
0,22,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6292,14,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
1,31,1,1,4,1,0,0,0,0,0,0,5,0,0,1,0,0,0,0,3.9747,17,0.5,0,0,3,0,0,0,0,0,0,0.0,0,0.0,0.0
1,23,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.056,14,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,22,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5383,14,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0
0,25,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.7533,9,0.0,0,0,0,0,0,0,139,17,0,0.0,0,0.0182,6.059
0,24,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.8554,11,0.0,0,0,0,0,0,0,129,16,0,0.0,0,0.0297,5.375
